End Date,USD/INR,USD/PKR,USD/CNY,USD/KWD,USD/AED,USD/LKR,USD/CHF,USD/EUR,USD/ALL,USD/DZD,USD/AOA,USD/XCD,USD/ARS,USD/AMD,USD/AWG,USD/SHP,USD/AUD,USD/AZN,USD/BSD,USD/BHD,USD/BDT,USD/BBD,USD/BYN,USD/BZD,USD/XOF,USD/BMD,USD/BTN,USD/BOB,USD/BAM,USD/BWP,USD/BRL,USD/BND,USD/BGN,USD/BIF,USD/CVE
01-01-2001,46.665,57.85,8.27782,0.3056,3.673,82.84,1.6108,1.06159,142.45,73.42,5.97035,2.67014,0.9984,439.5,1.77,1.49518,1.7894,0.9213,1,0.377025,54.1,2,2.0053,1.9701,699.075,0.985149,46.6808,6.375,1.62173,5.36482,1.95,1.7323,2.05875,734.067,118.514
02-01-2001,46.69,58.65,8.27831,0.304877,3.673,82.55,1.60076,1.0521,142.45,72.45,5.97035,2.67014,0.99969,439.5,1.77,1.49518,1.78714,0.9213,1,0.377,54.1,2,2.0053,1.9701,689.761,0.99005,46.6808,6.375,1.62722,5.36196,1.9425,1.7357,2.05875,734.067,117.254
03-01-2001,46.7,58.15,8.27772,0.305474,3.673,82.65,1.63058,1.07656,140.84,72.23,5.97035,2.67014,0.9997,439.5,1.77,1.49518,1.7969,0.9213,1,0.377,54.1,2,2.0053,1.9701,705.67,0.99005,46.6808,6.375,1.62722,5.3079,1.93005,1.7312,2.1783,734.067,116.266
04-01-2001,46.73,58.9,8.27852,0.305197,3.673,82.7,1.60628,1.05247,140,72.11,5.97035,2.67014,0.999765,439.5,1.77,1.49518,1.76769,0.9213,1,0.377,54.1,2,2.0053,1.9701,690.1,0.99005,46.6808,6.395,1.62722,5.31071,1.9419,1.7328,2.04624,734.067,116.511
05-01-2001,46.705,59.1,8.27792,0.305093,3.673,83.125,1.5979,1.0439,140.65,71.97,5.97035,2.67014,0.9993,439.5,1.77,1.49518,1.75054,0.9213,1,0.377,54.1,2,1.9979,1.9701,684.43,0.99005,46.6808,6.375,1.62722,5.31636,1.9549,1.7345,2.04624,734.067,115.739
06-01-2001,46.71,59.275,8.27792,0.305135,3.6729,83.05,1.5979,1.04608,140.65,71.97,5.97035,2.67014,0.9993,439.5,1.77,1.49518,1.75054,0.9213,1,0.377,54.01,2,2.0048,1.9701,684.43,0.99005,46.6808,6.375,1.62722,5.31636,1.9554,1.7299,2.04624,734.067,115.739
07-01-2001,46.71,59.275,8.27792,0.30484,3.6729,83.05,1.598,1.04468,140.65,72.0155,5.97035,2.67014,0.9993,439.5,1.77,1.49518,1.74917,0.9213,1,0.376998,54.01,2,2.0159,1.9701,684.43,0.99005,46.6808,6.375,1.62722,5.31636,1.9554,1.7299,2.06135,734.067,115.739
08-01-2001,46.675,59.15,8.27821,0.305319,3.673,82.9,1.60655,1.05408,140,71.8,5.97035,2.67014,0.9998,439.5,1.77,1.49518,1.75666,0.9213,1,0.377,54.1,2,2.0121,1.9701,690.305,0.99005,46.4473,6.41,1.62722,5.36196,1.94905,1.7297,2.06135,734.067,114.005
09-01-2001,46.625,58.575,8.27752,0.30534,3.67284,82.85,1.61283,1.05826,140.9,72.0854,5.97035,2.67014,0.99982,439.5,1.77,1.49518,1.77373,0.9213,1,0.376989,54.1,2,2.0124,1.9701,693.82,0.99005,46.4473,6.41,1.62722,5.38217,1.9435,1.73255,2.07535,734.067,117.216
10-01-2001,46.625,58.55,8.27731,0.3055,3.67284,82.95,1.6285,1.06699,140.6,72.1128,5.97035,2.67014,0.99982,439.5,1.77,1.49518,1.79753,0.9213,1,0.376989,54.1,2,2.0124,1.9701,698.405,0.99005,46.4473,6.42,1.62722,5.4795,1.943,1.7355,2.05269,734.067,117.228
